DateTime,FASE A,FASE B,FASE C,TOTAL,Consumo
15/02/2025 11:50:00,"2166,60","3583,65","2151,48","7901,73","1316,95"
15/02/2025 12:00:00,"2305,50","3866,79","2548,94","8721,23","1453,54"
15/02/2025 12:10:00,"2275,46","3638,15","2195,70","8109,31","1351,55"
15/02/2025 12:20:00,"2325,24","3511,77","2001,70","7838,71","1306,45"
15/02/2025 12:30:00,"2337,54","3734,59","2263,42","8335,55","1389,26"
15/02/2025 12:40:00,"2406,11","3800,50","2406,57","8613,19","1435,53"
15/02/2025 12:50:00,"2400,15","3526,82","1896,95","7823,91","1303,99"
15/02/2025 13:00:00,"2290,29","3801,92","2478,69","8570,90","1428,48"
15/02/2025 13:10:00,"2242,69","3703,03","2234,22","8179,94","1363,32"
15/02/2025 13:20:00,"2425,56","3618,60","2161,65","8205,82","1367,64"
15/02/2025 13:30:00,"2494,51","3616,38","2218,59","8329,48","1388,25"
15/02/2025 13:40:00,"2329,41","3757,57","2556,95","8643,93","1440,66"
15/02/2025 13:50:00,"2293,25","3613,97","2243,55","8150,77","1358,46"
15/02/2025 14:00:00,"1653,72","3061,67","2474,11","7189,50","1198,25"
15/02/2025 14:10:00,"1685,03","3087,01","2506,51","7278,55","1213,09"
15/02/2025 14:20:00,"1539,98","3168,15","2592,41","7300,54","1216,76"
15/02/2025 14:30:00,"1611,95","2211,64","1224,56","5048,14","841,36"
15/02/2025 14:40:00,"1643,57","2263,98","1353,48","5261,03","876,84"
15/02/2025 14:50:00,"1608,49","2298,46","1498,61","5405,56","900,93"
15/02/2025 15:00:00,"1476,43","2257,57","1443,84","5177,83","862,97"
15/02/2025 15:10:00,"1587,37","2266,49","1373,96","5227,82","871,30"
15/02/2025 15:20:00,"1697,64","2249,97","1370,43","5318,04","886,34"
15/02/2025 15:30:00,"1464,39","2181,01","1204,94","4850,34","808,39"
15/02/2025 15:40:00,"1413,76","2307,08","1375,35","5096,19","849,37"
15/02/2025 15:50:00,"1572,02","2167,27","1206,69","4945,99","824,33"
15/02/2025 16:00:00,"1596,88","2285,05","1412,49","5294,42","882,40"
15/02/2025 16:10:00,"1526,03","2316,86","1510,34","5353,23","892,21"
15/02/2025 16:20:00,"1504,47","2504,05","1884,23","5892,75","982,12"
15/02/2025 16:30:00,"1526,34","2185,84","1298,41","5010,59","835,10"
15/02/2025 16:40:00,"1474,56","2127,52","1108,75","4710,83","785,14"
15/02/2025 16:50:00,"1399,68","2175,37","1144,81","4719,87","786,64"
15/02/2025 17:00:00,"1484,13","2175,37","1188,56","4848,06","808,01"
15/02/2025 17:10:00,"2114,76","2095,24","1113,20","5323,20","887,20"
15/02/2025 17:20:00,"2091,29","2163,91","1256,54","5511,74","918,62"
15/02/2025 17:30:00,"2029,36","2279,62","1496,26","5805,25","967,54"
15/02/2025 17:40:00,"2096,18","2220,32","1439,77","5756,27","959,38"
15/02/2025 17:50:00,"1963,53","2157,82","1239,80","5361,14","893,52"
15/02/2025 18:00:00,"1876,22","2244,68","1466,06","5586,96","931,16"
15/02/2025 18:10:00,"1910,92","2223,07","1381,07","5515,06","919,18"
15/02/2025 18:20:00,"1975,78","2290,74","1518,42","5784,95","964,16"
15/02/2025 18:30:00,"2000,59","2232,66","1471,95","5705,21","950,87"
15/02/2025 18:40:00,"2065,82","2371,08","1722,18","6159,08","1026,51"
15/02/2025 18:50:00,"1980,86","2307,31","1641,88","5930,05","988,34"
15/02/2025 19:00:00,"2107,40","2402,18","1801,83","6311,40","1051,90"
15/02/2025 19:10:00,"1989,45","2189,77","1317,88","5497,11","916,18"
15/02/2025 19:20:00,"1872,33","2165,18","1237,63","5275,14","879,19"
15/02/2025 19:30:00,"1886,88","2238,50","1449,69","5575,07","929,18"
15/02/2025 19:40:00,"1917,19","2198,33","1410,84","5526,37","921,06"
15/02/2025 19:50:00,"2014,66","2290,09","1565,81","5870,57","978,43"
15/02/2025 20:00:00,"1966,56","2299,55","1592,01","5858,11","976,35"
15/02/2025 20:10:00,"1930,93","2257,84","1516,22","5705,00","950,83"
15/02/2025 20:20:00,"2031,41","2294,11","1524,49","5850,02","975,00"
15/02/2025 20:30:00,"2138,65","2297,63","1684,09","6120,38","1020,06"
15/02/2025 20:40:00,"1902,14","2299,93","1570,08","5772,15","962,02"
15/02/2025 20:50:00,"1901,55","2182,50","1370,79","5454,84","909,14"
15/02/2025 21:00:00,"1948,20","2076,37","1139,79","5164,37","860,73"
15/02/2025 21:10:00,"2018,49","1934,18","881,61","4834,28","805,71"
15/02/2025 21:20:00,"1927,33","2091,90","1208,06","5227,30","871,22"
15/02/2025 21:30:00,"1918,41","2064,21","1130,22","5112,84","852,14"
15/02/2025 21:40:00,"2009,24","2031,35","1131,23","5171,82","861,97"
15/02/2025 21:50:00,"2127,13","2162,52","1390,88","5680,52","946,75"
15/02/2025 22:00:00,"1820,19","2142,74","1327,25","5290,18","881,70"
15/02/2025 22:10:00,"1848,55","2221,60","1499,79","5569,94","928,32"
15/02/2025 22:20:00,"1973,68","2053,49","1135,44","5162,62","860,44"
15/02/2025 22:30:00,"2007,16","2093,87","1229,66","5330,69","888,45"
15/02/2025 22:40:00,"1931,69","2158,18","1416,41","5506,28","917,71"
15/02/2025 22:50:00,"1953,95","2114,98","1360,36","5429,29","904,88"
15/02/2025 23:00:00,"2064,46","2154,91","1387,56","5606,92","934,49"
15/02/2025 23:10:00,"2021,26","1912,34","891,61","4825,21","804,20"
15/02/2025 23:20:00,"1831,29","2151,51","1375,84","5358,64","893,11"
15/02/2025 23:30:00,"1844,32","2038,22","1134,24","5016,78","836,13"
15/02/2025 23:40:00,"2010,25","2092,43","1217,36","5320,03","886,67"
15/02/2025 23:50:00,"1970,19","1935,33","1010,87","4916,40","819,40"
16/02/2025 00:00:00,"1897,09","2186,83","1431,49","5515,41","919,24"
16/02/2025 00:10:00,"1987,99","2296,86","1659,70","5944,54","990,76"
16/02/2025 00:20:00,"2024,92","2185,83","1523,28","5734,03","955,67"
16/02/2025 00:30:00,"2031,50","2189,50","1445,64","5666,64","944,44"
16/02/2025 00:40:00,"1887,57","2223,87","1438,41","5549,85","924,98"
16/02/2025 00:50:00,"1878,06","2341,34","1769,73","5989,13","998,19"
16/02/2025 01:00:00,"1903,62","2191,68","1430,73","5526,04","921,01"
16/02/2025 01:10:00,"1921,43","2071,40","1189,69","5182,52","863,75"
16/02/2025 01:20:00,"1946,42","2196,74","1321,14","5464,30","910,72"
16/02/2025 01:30:00,"2009,73","2160,35","1338,77","5508,85","918,14"
16/02/2025 01:40:00,"2067,19","2147,48","1322,13","5536,79","922,80"
16/02/2025 01:50:00,"1981,21","2155,81","1192,79","5329,81","888,30"
16/02/2025 02:00:00,"2041,18","2215,00","1396,49","5652,66","942,11"
16/02/2025 02:10:00,"1948,23","2150,91","1404,25","5503,39","917,23"
16/02/2025 02:20:00,"1900,40","2259,61","1662,86","5822,87","970,48"
16/02/2025 02:30:00,"1837,37","2120,35","1202,06","5159,79","859,96"
16/02/2025 02:40:00,"1921,05","2143,85","1355,77","5420,67","903,45"
16/02/2025 02:50:00,"2065,82","2140,67","1373,79","5580,27","930,04"
16/02/2025 03:00:00,"2020,87","2009,33","1124,09","5154,29","859,05"
16/02/2025 03:10:00,"1941,23","2028,53","1069,84","5039,60","839,93"
16/02/2025 03:20:00,"1985,90","1990,26","992,50","4968,66","828,11"
16/02/2025 03:30:00,"1993,12","2184,38","1405,76","5583,27","930,54"
16/02/2025 03:40:00,"1958,13","2127,11","1366,67","5451,90","908,65"
16/02/2025 03:50:00,"1757,41","1992,37","1048,23","4798,01","799,67"
16/02/2025 04:00:00,"1992,22","1989,71","1021,52","5003,44","833,91"
16/02/2025 04:10:00,"2041,87","2022,93","1027,29","5092,09","848,68"
16/02/2025 04:20:00,"1953,26","2092,16","1161,95","5207,37","867,90"
16/02/2025 04:30:00,"1843,03","2071,70","1203,06","5117,80","852,97"
16/02/2025 04:40:00,"1980,05","2179,98","1392,76","5552,79","925,47"
16/02/2025 04:50:00,"1886,99","2208,87","1389,10","5484,96","914,16"
16/02/2025 05:00:00,"1863,77","2011,55","1112,64","4987,96","831,33"
16/02/2025 05:10:00,"1943,74","2165,66","1448,52","5557,91","926,32"
16/02/2025 05:20:00,"1969,38","2057,82","1112,80","5140,00","856,67"
16/02/2025 05:30:00,"2070,90","2061,41","1151,96","5284,27","880,71"
16/02/2025 05:40:00,"1862,94","2017,69","1115,02","4995,65","832,61"
16/02/2025 05:50:00,"1802,18","2114,74","1346,20","5263,13","877,19"
16/02/2025 06:00:00,"1925,12","2090,34","1266,89","5282,35","880,39"
16/02/2025 06:10:00,"2017,18","2147,63","1283,83","5448,65","908,11"
16/02/2025 06:20:00,"1968,62","2126,76","1259,20","5354,58","892,43"
16/02/2025 06:30:00,"1993,87","2103,86","1222,69","5320,42","886,74"
16/02/2025 06:40:00,"1963,97","2304,64","1633,69","5902,31","983,72"
16/02/2025 06:50:00,"1892,17","2315,67","1705,47","5913,31","985,55"
16/02/2025 07:00:00,"1817,93","2157,57","1423,56","5399,06","899,84"
16/02/2025 07:10:00,"1780,28","2385,00","1691,02","5856,30","976,05"
16/02/2025 07:20:00,"2040,26","2163,68","1337,29","5541,23","923,54"
16/02/2025 07:30:00,"2044,27","2123,30","1323,17","5490,74","915,12"
16/02/2025 07:40:00,"1919,15","2026,02","1050,20","4995,37","832,56"
16/02/2025 07:50:00,"1871,16","2113,41","1230,92","5215,49","869,25"
16/02/2025 08:00:00,"1947,14","2049,55","1185,86","5182,56","863,76"
16/02/2025 08:10:00,"1920,38","2151,84","1442,19","5514,41","919,07"
16/02/2025 08:20:00,"1864,33","2090,02","1157,52","5111,87","851,98"
16/02/2025 08:30:00,"1927,63","1984,97","1001,81","4914,41","819,07"
16/02/2025 08:40:00,"2034,55","2121,94","1209,95","5366,45","894,41"
16/02/2025 08:50:00,"1616,78","2169,39","1282,22","5068,40","844,73"
16/02/2025 09:00:00,"1421,33","2109,61","1224,81","4755,75","792,63"
16/02/2025 09:10:00,"1381,56","2186,43","1350,01","4918,00","819,67"
16/02/2025 09:20:00,"1470,49","2131,61","1267,66","4869,76","811,63"
16/02/2025 09:30:00,"1423,46","2266,91","1497,04","5187,41","864,57"
16/02/2025 09:40:00,"1452,36","2048,65","1083,44","4584,45","764,07"
16/02/2025 09:50:00,"1540,70","2164,31","1169,31","4874,32","812,39"
16/02/2025 10:00:00,"1477,30","2107,34","1101,05","4685,69","780,95"
16/02/2025 10:10:00,"1439,39","2082,34","1109,20","4630,94","771,82"
16/02/2025 10:20:00,"1443,97","1996,40","886,73","4327,10","721,18"
16/02/2025 10:30:00,"1468,20","2096,85","1114,15","4679,20","779,87"
16/02/2025 10:40:00,"1531,53","2299,65","1545,15","5376,34","896,06"
16/02/2025 10:50:00,"1538,50","2316,79","1547,05","5402,34","900,39"
